type_equipement,age,duree_vie_prevue,etat,derniere_maintenance,frequence_maintenance,nb_pannes,temps_fonctionnement_total,temps_moyen_reparation,temps_arret_panne,class_equipement
Moissonneuse,3,15,bon état,2024-04-16 17:50:08.837866,32,11,11130,16,42,B
Moissonneuse,11,16,bon état,2024-04-25 17:50:08.837870,3,22,40810,9,31,B
Remorque agricole,9,16,besoin de réparation,2024-02-04 17:50:08.837873,47,18,33390,8,5,B
Moissonneuse,6,10,besoin de réparation,2024-04-11 17:50:08.837877,3,20,22260,9,41,B
Tracteur,3,13,bon état,2024-04-17 17:50:08.837881,63,6,11130,4,5,A
Remorque agricole,13,16,besoin de maintenance,2024-03-15 17:50:08.837885,79,52,48230,4,34,C
Charrue,3,13,besoin de maintenance,2024-03-05 17:50:08.837889,35,11,11130,10,12,B
Remorque agricole,7,10,bon état,2024-04-23 17:50:08.837892,56,14,25970,14,43,B
Tondeuse agricole,12,15,besoin de réparation,2024-02-26 17:50:08.837896,55,48,44520,12,11,C
Semoir,3,12,besoin de réparation,2024-04-13 17:50:08.837901,7,12,11130,8,7,B
Semoir,10,15,besoin de maintenance,2024-03-14 17:50:08.837905,51,28,37100,5,25,B
Tracteur,10,13,besoin de maintenance,2024-03-07 17:50:08.837909,43,28,37100,2,29,C
Semoir,13,16,besoin de maintenance,2024-03-30 17:50:08.837912,38,37,48230,14,14,C
Remorque agricole,4,11,bon état,2024-04-19 17:50:08.837916,84,12,14840,6,41,B
Moissonneuse,3,13,bon état,2024-04-15 17:50:08.837921,19,9,11130,3,4,A
Remorque agricole,3,15,besoin de maintenance,2024-03-05 17:50:08.837925,53,10,11130,14,11,B
Tracteur,4,12,bon état,2024-04-17 17:50:08.837929,41,12,14840,9,14,B
Tondeuse agricole,8,14,besoin de réparation,2024-02-17 17:50:08.837932,58,20,29680,2,38,B
Tondeuse agricole,12,12,bon état,2024-04-15 17:50:08.837936,15,24,44520,15,6,C
Semoir,13,11,bon état,2024-04-26 17:50:08.837940,19,52,48230,18,15,C
Charrue,6,12,besoin de réparation,2024-04-08 17:50:08.837944,56,22,22260,16,17,B
Semoir,9,13,besoin de réparation,2024-02-19 17:50:08.837948,89,36,33390,18,39,B
Remorque agricole,11,14,bon état,2024-04-20 17:50:08.837952,20,22,40810,16,46,C
Tracteur,3,11,besoin de maintenance,2024-03-06 17:50:08.837956,54,9,11130,2,44,B
Tondeuse agricole,13,15,besoin de réparation,2024-02-21 17:50:08.837960,59,37,48230,7,31,C
Remorque agricole,11,15,besoin de réparation,2024-02-21 17:50:08.837964,55,22,40810,2,10,B
Tondeuse agricole,8,16,bon état,2024-04-20 17:50:08.837967,82,20,29680,7,36,B
Semoir,6,14,besoin de réparation,2024-04-14 17:50:08.837971,38,20,22260,4,10,B
Semoir,9,12,besoin de maintenance,2024-03-04 17:50:08.837975,6,29,33390,9,18,C
Semoir,4,15,besoin de réparation,2024-04-04 17:50:08.837979,7,12,14840,12,15,B
Tondeuse agricole,11,12,besoin de réparation,2024-02-23 17:50:08.837982,29,36,40810,17,44,C
Tracteur,13,14,besoin de maintenance,2024-03-21 17:50:08.837986,24,47,48230,16,3,C
Charrue,8,13,bon état,2024-04-22 17:50:08.837990,11,32,29680,12,35,B
Semoir,3,11,besoin de maintenance,2024-03-21 17:50:08.837994,84,8,11130,14,15,B
Tracteur,11,10,bon état,2024-04-29 17:50:08.837998,63,31,40810,18,15,C
Charrue,6,14,besoin de réparation,2024-03-31 17:50:08.838002,42,20,22260,17,31,B
Semoir,4,13,besoin de maintenance,2024-03-29 17:50:08.838006,53,13,14840,6,26,B
Tracteur,6,15,besoin de maintenance,2024-03-18 17:50:08.838009,49,15,22260,8,18,B
Semoir,5,11,bon état,2024-04-15 17:50:08.838013,75,10,18550,2,13,B
Tracteur,3,12,bon état,2024-04-19 17:50:08.838017,41,6,11130,10,36,A
Tracteur,5,11,besoin de réparation,2024-04-01 17:50:08.838021,28,14,18550,15,18,B
Moissonneuse,11,15,bon état,2024-04-17 17:50:08.838025,73,36,40810,4,3,B
Semoir,10,13,bon état,2024-04-28 17:50:08.838029,48,36,37100,3,5,C
Moissonneuse,13,16,besoin de maintenance,2024-03-11 17:50:08.838032,27,26,48230,3,16,C
Charrue,9,10,besoin de réparation,2024-02-25 17:50:08.838036,82,18,33390,8,6,C
Charrue,13,14,besoin de maintenance,2024-03-06 17:50:08.838040,63,26,48230,2,48,C
Semoir,3,16,besoin de maintenance,2024-03-25 17:50:08.838044,90,12,11130,6,11,B
Tondeuse agricole,5,10,besoin de réparation,2024-03-31 17:50:08.838048,69,20,18550,15,6,B
Tondeuse agricole,4,10,bon état,2024-04-26 17:50:08.838051,24,15,14840,8,43,B
Tondeuse agricole,3,13,besoin de maintenance,2024-03-07 17:50:08.838055,65,8,11130,3,33,B
Remorque agricole,7,15,besoin de maintenance,2024-03-04 17:50:08.838059,38,23,25970,13,10,B
Remorque agricole,10,10,bon état,2024-04-23 17:50:08.838063,85,36,37100,8,40,C
Tondeuse agricole,11,16,bon état,2024-04-29 17:50:08.838067,85,27,40810,10,31,B
Charrue,6,14,bon état,2024-04-28 17:50:08.838071,43,15,22260,5,47,B
Semoir,8,16,besoin de maintenance,2024-03-05 17:50:08.838076,76,23,29680,10,2,B
Tondeuse agricole,9,12,bon état,2024-04-15 17:50:08.838079,12,26,33390,16,25,C
Semoir,8,15,bon état,2024-04-26 17:50:08.838083,57,16,29680,9,2,B
Moissonneuse,9,16,bon état,2024-04-19 17:50:08.838087,59,33,33390,12,10,B
Charrue,10,16,besoin de maintenance,2024-03-05 17:50:08.838091,53,32,37100,3,13,B
Tondeuse agricole,8,11,besoin de maintenance,2024-03-22 17:50:08.838094,44,20,29680,16,48,B
Tondeuse agricole,11,16,besoin de maintenance,2024-03-27 17:50:08.838099,9,40,40810,3,26,B
Semoir,6,12,bon état,2024-04-16 17:50:08.838103,5,24,22260,2,17,B
Moissonneuse,7,10,besoin de maintenance,2024-03-18 17:50:08.838106,61,23,25970,10,2,B
Remorque agricole,11,11,bon état,2024-04-21 17:50:08.838110,54,31,40810,12,43,C
Charrue,10,10,besoin de maintenance,2024-03-27 17:50:08.838114,5,28,37100,15,14,C
Moissonneuse,10,14,bon état,2024-04-19 17:50:08.838118,11,28,37100,9,14,B
Charrue,3,16,besoin de réparation,2024-04-12 17:50:08.838121,83,9,11130,3,45,B
Tondeuse agricole,4,13,besoin de maintenance,2024-03-06 17:50:08.838125,61,15,14840,4,31,B
Charrue,4,14,besoin de maintenance,2024-03-05 17:50:08.838129,78,12,14840,13,26,B
Charrue,7,13,besoin de réparation,2024-02-24 17:50:08.838133,23,14,25970,18,18,B
Moissonneuse,6,14,bon état,2024-04-16 17:50:08.838136,72,15,22260,3,43,B
Semoir,3,12,bon état,2024-04-18 17:50:08.838140,62,8,11130,16,8,A
Semoir,6,15,bon état,2024-04-28 17:50:08.838144,16,17,22260,10,33,B
Tracteur,6,10,besoin de réparation,2024-04-03 17:50:08.838148,12,17,22260,16,40,B
Tondeuse agricole,3,10,besoin de maintenance,2024-03-29 17:50:08.838152,17,12,11130,17,18,B
Moissonneuse,12,16,besoin de réparation,2024-02-07 17:50:08.838156,36,44,44520,11,25,C
Moissonneuse,8,12,besoin de maintenance,2024-03-15 17:50:08.838160,22,29,29680,4,36,B
Tondeuse agricole,10,12,besoin de maintenance,2024-03-23 17:50:08.838163,12,40,37100,17,46,C
Tondeuse agricole,8,10,besoin de réparation,2024-02-12 17:50:08.838167,74,29,29680,6,29,C
Charrue,9,13,besoin de maintenance,2024-03-06 17:50:08.838171,33,18,33390,9,17,B
Tondeuse agricole,6,16,besoin de réparation,2024-04-10 17:50:08.838175,51,22,22260,5,19,B
Tracteur,10,11,besoin de réparation,2024-02-24 17:50:08.838178,46,36,37100,2,35,C
Semoir,11,12,besoin de maintenance,2024-03-04 17:50:08.838182,51,44,40810,3,30,C
Tondeuse agricole,7,13,bon état,2024-04-23 17:50:08.838186,29,20,25970,5,36,B
Moissonneuse,10,10,besoin de maintenance,2024-03-30 17:50:08.838190,38,20,37100,10,9,C
Tracteur,7,13,besoin de maintenance,2024-03-05 17:50:08.838194,26,14,25970,6,40,B
Remorque agricole,9,12,bon état,2024-04-28 17:50:08.838197,10,26,33390,4,23,C
Tracteur,12,11,besoin de maintenance,2024-03-15 17:50:08.838201,65,29,44520,10,47,C
Moissonneuse,7,12,bon état,2024-04-20 17:50:08.838205,46,17,25970,6,6,B
Tondeuse agricole,12,14,besoin de réparation,2024-02-01 17:50:08.838209,67,29,44520,8,48,C
Charrue,12,12,bon état,2024-04-22 17:50:08.838212,77,29,44520,12,35,C
Moissonneuse,6,14,besoin de réparation,2024-04-11 17:50:08.838216,82,20,22260,4,15,B
Charrue,11,11,besoin de maintenance,2024-03-05 17:50:08.838220,57,40,40810,17,44,C
Moissonneuse,6,10,besoin de réparation,2024-04-10 17:50:08.838224,59,20,22260,9,42,B
Remorque agricole,9,11,besoin de maintenance,2024-03-07 17:50:08.838229,7,33,33390,18,22,C
Remorque agricole,8,12,besoin de maintenance,2024-03-04 17:50:08.838232,37,32,29680,9,21,B
Moissonneuse,3,11,besoin de réparation,2024-04-01 17:50:08.838236,50,10,11130,15,12,B
Semoir,9,11,besoin de maintenance,2024-03-22 17:50:08.838240,31,18,33390,11,23,C
Semoir,7,11,besoin de maintenance,2024-03-26 17:50:08.838244,36,23,25970,8,3,B
Semoir,12,13,bon état,2024-04-26 17:50:08.838248,85,44,44520,14,6,C
Semoir,10,13,besoin de réparation,2024-02-24 17:50:08.838251,85,20,37100,3,15,C
Tondeuse agricole,8,10,besoin de réparation,2024-02-12 17:50:08.838255,50,23,29680,11,16,C
Tondeuse agricole,4,11,besoin de réparation,2024-04-04 17:50:08.838259,87,12,14840,16,11,B
Tondeuse agricole,7,11,besoin de maintenance,2024-03-24 17:50:08.838263,15,14,25970,4,7,B
Remorque agricole,11,10,besoin de réparation,2024-02-02 17:50:08.838267,71,31,40810,11,19,C
Semoir,4,11,besoin de réparation,2024-04-07 17:50:08.838271,77,16,14840,18,29,B
Tracteur,7,14,besoin de réparation,2024-02-07 17:50:08.838274,41,28,25970,15,33,B
Semoir,13,10,besoin de réparation,2024-02-04 17:50:08.838278,11,26,48230,14,5,C
Semoir,9,13,bon état,2024-04-18 17:50:08.838282,55,33,33390,6,10,B
Charrue,13,11,besoin de réparation,2024-02-02 17:50:08.838286,46,47,48230,13,34,C
Semoir,3,16,bon état,2024-04-20 17:50:08.838290,37,8,11130,13,23,A
Semoir,6,10,bon état,2024-04-22 17:50:08.838294,79,12,22260,9,42,B
Remorque agricole,11,16,besoin de maintenance,2024-03-23 17:50:08.838298,82,31,40810,18,32,B
Remorque agricole,5,11,besoin de maintenance,2024-03-07 17:50:08.838302,12,14,18550,5,40,B
Moissonneuse,5,13,bon état,2024-04-15 17:50:08.838306,12,20,18550,3,5,B
Remorque agricole,9,14,bon état,2024-04-21 17:50:08.838310,18,18,33390,17,16,B
Tondeuse agricole,11,12,besoin de maintenance,2024-03-27 17:50:08.838314,43,27,40810,12,22,C
Remorque agricole,8,16,besoin de réparation,2024-02-15 17:50:08.838317,3,16,29680,12,3,B
Remorque agricole,11,10,besoin de réparation,2024-02-14 17:50:08.838321,66,27,40810,12,42,C
Moissonneuse,13,13,bon état,2024-04-27 17:50:08.838325,61,52,48230,18,18,C
Semoir,11,10,besoin de réparation,2024-02-10 17:50:08.838329,21,27,40810,2,16,C
Remorque agricole,12,13,besoin de réparation,2024-02-03 17:50:08.838333,22,48,44520,6,20,C
Tracteur,6,11,bon état,2024-04-18 17:50:08.838337,41,20,22260,18,39,B
Charrue,4,13,bon état,2024-04-26 17:50:08.838340,45,12,14840,2,27,B
Remorque agricole,4,10,besoin de maintenance,2024-03-21 17:50:08.838344,90,16,14840,13,45,B
Charrue,13,15,besoin de réparation,2024-02-19 17:50:08.838348,48,52,48230,18,41,C
Moissonneuse,9,13,besoin de réparation,2024-01-31 17:50:08.838352,55,36,33390,6,9,B
Remorque agricole,8,10,bon état,2024-04-28 17:50:08.838355,41,16,29680,16,13,C
Tondeuse agricole,10,10,bon état,2024-04-25 17:50:08.838359,77,28,37100,17,17,C
Tracteur,3,11,bon état,2024-04-18 17:50:08.838363,7,10,11130,10,43,B
Semoir,12,11,besoin de maintenance,2024-03-25 17:50:08.838367,20,34,44520,6,32,C
Tondeuse agricole,12,15,besoin de maintenance,2024-03-05 17:50:08.838371,67,39,44520,3,40,C
Tracteur,3,13,bon état,2024-04-24 17:50:08.838375,29,8,11130,10,6,A
Tracteur,9,10,bon état,2024-04-15 17:50:08.838379,70,33,33390,7,12,C
Tondeuse agricole,13,15,bon état,2024-04-23 17:50:08.838384,56,42,48230,17,13,C
Tondeuse agricole,6,14,besoin de maintenance,2024-03-26 17:50:08.838388,31,24,22260,14,14,B
Charrue,11,16,besoin de maintenance,2024-03-30 17:50:08.838392,78,44,40810,9,32,B
Charrue,3,12,besoin de maintenance,2024-03-10 17:50:08.838395,64,10,11130,10,44,B
Tondeuse agricole,8,10,besoin de réparation,2024-02-27 17:50:08.838399,40,32,29680,6,44,C
Tracteur,11,12,besoin de maintenance,2024-03-19 17:50:08.838403,67,27,40810,6,29,C
Charrue,13,10,bon état,2024-04-19 17:50:08.838407,88,52,48230,5,48,C
Charrue,4,10,bon état,2024-04-18 17:50:08.838411,45,15,14840,11,15,B
Moissonneuse,13,16,besoin de réparation,2024-02-14 17:50:08.838415,16,37,48230,11,2,C
Remorque agricole,5,15,besoin de réparation,2024-04-06 17:50:08.838419,71,18,18550,11,37,B
Tracteur,13,12,bon état,2024-04-20 17:50:08.838422,82,37,48230,2,22,C
Charrue,4,13,besoin de réparation,2024-04-15 17:50:08.838426,69,8,14840,3,32,B
Remorque agricole,3,15,besoin de maintenance,2024-03-17 17:50:08.838430,21,11,11130,17,44,B
Tracteur,5,11,bon état,2024-04-20 17:50:08.838434,48,12,18550,11,25,B
Tracteur,3,11,besoin de maintenance,2024-03-21 17:50:08.838438,9,6,11130,10,24,B
Tracteur,13,11,besoin de maintenance,2024-03-30 17:50:08.838442,44,32,48230,5,10,C
Tracteur,7,12,besoin de réparation,2024-02-06 17:50:08.838445,53,28,25970,4,30,B
Remorque agricole,13,13,bon état,2024-04-28 17:50:08.838449,9,42,48230,13,36,C
Moissonneuse,4,16,besoin de maintenance,2024-03-20 17:50:08.838453,1,12,14840,9,8,B
Charrue,6,15,besoin de réparation,2024-04-12 17:50:08.838457,40,12,22260,12,27,B
Moissonneuse,13,12,besoin de réparation,2024-02-13 17:50:08.838461,49,47,48230,12,13,C
Semoir,6,10,besoin de réparation,2024-04-08 17:50:08.838464,15,20,22260,2,41,B
Tondeuse agricole,10,14,besoin de maintenance,2024-03-28 17:50:08.838468,48,36,37100,2,37,B
Charrue,3,13,bon état,2024-04-28 17:50:08.838472,78,12,11130,18,28,B
Tondeuse agricole,3,13,besoin de maintenance,2024-03-05 17:50:08.838476,25,9,11130,11,42,B
Moissonneuse,10,16,bon état,2024-04-24 17:50:08.838480,30,40,37100,8,37,B
Tracteur,11,15,bon état,2024-04-18 17:50:08.838484,54,40,40810,7,4,B
Semoir,11,13,besoin de réparation,2024-02-01 17:50:08.838487,9,36,40810,10,9,C
Charrue,12,16,bon état,2024-04-18 17:50:08.838491,47,24,44520,14,9,C
Tondeuse agricole,3,14,bon état,2024-04-15 17:50:08.838496,69,6,11130,7,4,A
Tondeuse agricole,4,16,besoin de réparation,2024-04-01 17:50:08.838500,30,8,14840,9,18,B
Tondeuse agricole,7,15,besoin de maintenance,2024-03-16 17:50:08.838504,83,23,25970,13,8,B
Charrue,5,10,bon état,2024-04-24 17:50:08.838507,76,10,18550,13,9,B
Charrue,9,14,bon état,2024-04-29 17:50:08.838511,60,36,33390,14,12,B
Semoir,7,14,besoin de maintenance,2024-03-27 17:50:08.838515,37,23,25970,9,4,B
Remorque agricole,6,15,bon état,2024-04-15 17:50:08.838519,8,20,22260,12,19,B
Moissonneuse,8,11,bon état,2024-04-23 17:50:08.838523,83,29,29680,7,30,B
Charrue,8,13,bon état,2024-04-25 17:50:08.838527,57,16,29680,6,11,B
Remorque agricole,8,14,bon état,2024-04-20 17:50:08.838530,61,20,29680,16,21,B
Tondeuse agricole,5,11,besoin de maintenance,2024-03-15 17:50:08.838535,4,12,18550,6,16,B
Semoir,9,10,besoin de maintenance,2024-03-21 17:50:08.838540,75,22,33390,14,14,C
Remorque agricole,11,12,bon état,2024-04-23 17:50:08.838544,19,40,40810,3,43,C
Moissonneuse,4,16,besoin de maintenance,2024-03-31 17:50:08.838548,76,15,14840,13,33,B
Semoir,6,10,bon état,2024-04-29 17:50:08.838552,19,24,22260,11,10,B
Tracteur,10,15,besoin de réparation,2024-02-01 17:50:08.838556,20,20,37100,8,46,B
Tondeuse agricole,3,15,bon état,2024-04-19 17:50:08.838560,54,8,11130,13,9,A
Tondeuse agricole,5,10,bon état,2024-04-16 17:50:08.838564,11,14,18550,13,8,B
Semoir,8,13,bon état,2024-04-21 17:50:08.838567,21,16,29680,10,11,B
Charrue,12,16,besoin de maintenance,2024-03-21 17:50:08.838571,46,48,44520,5,26,C
Remorque agricole,11,13,besoin de réparation,2024-02-28 17:50:08.838575,80,31,40810,10,37,C
Semoir,6,10,besoin de maintenance,2024-03-04 17:50:08.838579,38,15,22260,9,9,B
Tondeuse agricole,8,10,besoin de maintenance,2024-03-22 17:50:08.838583,26,29,29680,2,27,C
Remorque agricole,13,11,bon état,2024-04-15 17:50:08.838587,23,37,48230,13,42,C
Tracteur,4,14,bon état,2024-04-28 17:50:08.838591,61,8,14840,6,10,A
Tracteur,6,12,besoin de réparation,2024-04-10 17:50:08.838594,18,24,22260,3,17,B
Tondeuse agricole,4,10,besoin de réparation,2024-04-15 17:50:08.838598,29,16,14840,11,38,B
Tondeuse agricole,8,12,besoin de maintenance,2024-03-31 17:50:08.838602,59,16,29680,6,2,B
Semoir,8,11,besoin de maintenance,2024-03-07 17:50:08.838606,60,20,29680,4,25,B
Charrue,3,13,besoin de maintenance,2024-03-30 17:50:08.838610,6,9,11130,15,19,B
Tondeuse agricole,9,10,besoin de maintenance,2024-03-15 17:50:08.838614,16,18,33390,4,22,C
Moissonneuse,8,14,besoin de réparation,2024-02-24 17:50:08.838618,88,16,29680,10,32,B
Moissonneuse,12,16,bon état,2024-04-16 17:50:08.838622,15,39,44520,3,29,C
Remorque agricole,8,10,besoin de maintenance,2024-03-29 17:50:08.838626,20,26,29680,6,4,C
Tracteur,13,11,besoin de réparation,2024-02-23 17:50:08.838629,86,52,48230,15,41,C
Charrue,4,12,besoin de réparation,2024-04-05 17:50:08.838633,67,8,14840,5,26,B
Charrue,3,13,besoin de réparation,2024-04-08 17:50:08.838637,31,12,11130,9,23,B
Charrue,7,16,besoin de réparation,2024-02-16 17:50:08.838641,76,20,25970,9,36,B
Charrue,12,12,besoin de réparation,2024-02-15 17:50:08.838645,59,34,44520,7,12,C
Tondeuse agricole,7,16,besoin de maintenance,2024-03-22 17:50:08.838649,15,26,25970,16,30,B
Tracteur,9,10,besoin de réparation,2024-02-05 17:50:08.838652,75,26,33390,3,23,C
Semoir,5,15,besoin de réparation,2024-04-02 17:50:08.838656,48,18,18550,9,34,B
Semoir,5,13,bon état,2024-04-28 17:50:08.838660,14,14,18550,10,19,B
Moissonneuse,6,16,bon état,2024-04-18 17:50:08.838664,75,15,22260,8,27,B
Tracteur,12,11,besoin de maintenance,2024-03-21 17:50:08.838668,89,48,44520,14,38,C
Semoir,13,13,bon état,2024-04-19 17:50:08.838672,89,26,48230,7,10,C
Tracteur,6,12,besoin de maintenance,2024-03-22 17:50:08.838676,38,15,22260,6,16,B
Remorque agricole,5,13,bon état,2024-04-28 17:50:08.838680,49,20,18550,14,17,B
Semoir,11,12,besoin de réparation,2024-02-16 17:50:08.838684,53,36,40810,3,16,C
Remorque agricole,7,15,besoin de maintenance,2024-03-07 17:50:08.838688,56,20,25970,16,44,B
Charrue,3,14,besoin de réparation,2024-04-03 17:50:08.838692,68,8,11130,15,17,B
Remorque agricole,11,16,besoin de maintenance,2024-03-09 17:50:08.838697,37,40,40810,11,35,B
Remorque agricole,8,12,besoin de réparation,2024-02-24 17:50:08.838701,75,26,29680,16,29,B
Charrue,11,12,bon état,2024-04-15 17:50:08.838705,74,27,40810,9,48,C
Moissonneuse,4,15,bon état,2024-04-21 17:50:08.838709,90,12,14840,8,23,B
Tracteur,13,14,besoin de réparation,2024-02-19 17:50:08.838713,78,47,48230,14,44,C
Moissonneuse,10,14,bon état,2024-04-17 17:50:08.838717,34,28,37100,6,38,B
Tondeuse agricole,6,15,bon état,2024-04-20 17:50:08.838721,72,20,22260,11,10,B
Moissonneuse,4,14,bon état,2024-04-29 17:50:08.838725,88,16,14840,14,7,B
Semoir,7,16,bon état,2024-04-28 17:50:08.838728,10,20,25970,11,41,B
Moissonneuse,12,16,besoin de réparation,2024-02-22 17:50:08.838732,82,44,44520,9,40,C
Moissonneuse,13,11,besoin de maintenance,2024-03-16 17:50:08.838736,58,32,48230,3,30,C
Semoir,6,14,bon état,2024-04-19 17:50:08.838740,44,24,22260,6,33,B
Charrue,8,14,besoin de réparation,2024-02-10 17:50:08.838744,13,20,29680,10,46,B
Tracteur,10,13,besoin de réparation,2024-02-17 17:50:08.838747,10,32,37100,5,17,C
Charrue,5,15,besoin de réparation,2024-04-09 17:50:08.838756,61,12,18550,15,19,B
Tondeuse agricole,11,13,besoin de réparation,2024-02-01 17:50:08.838760,23,31,40810,11,8,C
Remorque agricole,6,15,bon état,2024-04-22 17:50:08.838763,12,24,22260,3,11,B
Tracteur,13,12,besoin de réparation,2024-02-21 17:50:08.838767,23,42,48230,11,47,C
Charrue,5,11,bon état,2024-04-27 17:50:08.838771,54,12,18550,10,30,B
Remorque agricole,4,13,besoin de réparation,2024-04-01 17:50:08.838775,8,12,14840,18,41,B
Tondeuse agricole,11,15,bon état,2024-04-26 17:50:08.838779,12,36,40810,13,26,B
Remorque agricole,6,12,besoin de maintenance,2024-03-16 17:50:08.838782,4,17,22260,17,18,B
Tondeuse agricole,7,10,besoin de maintenance,2024-03-08 17:50:08.838786,41,17,25970,13,39,B
Charrue,5,15,besoin de réparation,2024-04-02 17:50:08.838790,37,14,18550,8,7,B
Semoir,9,16,bon état,2024-04-26 17:50:08.838794,70,29,33390,10,20,B
Moissonneuse,6,10,besoin de maintenance,2024-03-14 17:50:08.838797,78,20,22260,14,11,B
Charrue,6,10,besoin de réparation,2024-04-09 17:50:08.838801,77,24,22260,6,2,B
Charrue,8,11,besoin de réparation,2024-02-07 17:50:08.838805,21,20,29680,2,45,B
Charrue,7,11,besoin de maintenance,2024-03-13 17:50:08.838809,89,28,25970,15,44,B
Charrue,7,13,besoin de réparation,2024-02-01 17:50:08.838812,45,23,25970,16,18,B
Tracteur,9,15,bon état,2024-04-24 17:50:08.838816,79,33,33390,8,14,B
Moissonneuse,10,10,besoin de réparation,2024-02-12 17:50:08.838820,18,20,37100,17,26,C
Semoir,4,13,besoin de maintenance,2024-03-25 17:50:08.838824,77,13,14840,10,2,B
Remorque agricole,7,13,besoin de maintenance,2024-03-15 17:50:08.838827,10,17,25970,13,34,B
Remorque agricole,4,12,besoin de réparation,2024-04-02 17:50:08.838831,59,10,14840,16,16,B
Tondeuse agricole,3,16,bon état,2024-04-18 17:50:08.838835,51,8,11130,2,12,A
Tracteur,12,13,besoin de réparation,2024-01-31 17:50:08.838839,30,24,44520,2,22,C
Charrue,13,12,besoin de réparation,2024-02-07 17:50:08.838842,21,47,48230,14,17,C
Semoir,9,12,besoin de réparation,2024-02-26 17:50:08.838846,61,18,33390,14,3,C
Remorque agricole,6,14,besoin de réparation,2024-04-07 17:50:08.838850,47,24,22260,7,41,B
Tondeuse agricole,6,10,bon état,2024-04-19 17:50:08.838855,3,12,22260,4,25,B
Moissonneuse,12,15,bon état,2024-04-29 17:50:08.838859,36,29,44520,7,20,C
Charrue,10,15,bon état,2024-04-22 17:50:08.838863,16,28,37100,8,12,B
Tracteur,8,13,bon état,2024-04-29 17:50:08.838867,9,23,29680,9,39,B
Moissonneuse,11,10,bon état,2024-04-24 17:50:08.838870,66,27,40810,3,29,C
Tracteur,7,14,besoin de maintenance,2024-03-13 17:50:08.838874,72,17,25970,7,48,B
Tondeuse agricole,10,11,besoin de maintenance,2024-03-26 17:50:08.838878,45,20,37100,14,5,C
Remorque agricole,9,16,besoin de maintenance,2024-03-06 17:50:08.838882,4,33,33390,8,12,B
Charrue,13,13,besoin de réparation,2024-02-11 17:50:08.838886,61,47,48230,7,33,C
Semoir,9,10,bon état,2024-04-24 17:50:08.838890,61,29,33390,11,31,C
Remorque agricole,10,13,besoin de maintenance,2024-03-31 17:50:08.838894,56,24,37100,7,7,C
Remorque agricole,5,12,besoin de réparation,2024-04-09 17:50:08.838898,90,10,18550,6,47,B
Remorque agricole,11,14,bon état,2024-04-23 17:50:08.838902,61,36,40810,16,24,C
Charrue,9,12,bon état,2024-04-15 17:50:08.838906,36,36,33390,5,46,C
Remorque agricole,6,11,bon état,2024-04-26 17:50:08.838910,84,12,22260,14,45,B
Tracteur,3,11,besoin de réparation,2024-04-11 17:50:08.838914,46,9,11130,13,17,B
Moissonneuse,10,10,besoin de maintenance,2024-03-16 17:50:08.838917,12,32,37100,8,28,C
Remorque agricole,10,11,besoin de maintenance,2024-03-19 17:50:08.838921,71,40,37100,9,32,C
Remorque agricole,8,15,besoin de réparation,2024-02-06 17:50:08.838925,25,20,29680,5,13,B
Semoir,8,15,besoin de réparation,2024-02-20 17:50:08.838929,18,29,29680,2,4,B
Remorque agricole,8,12,bon état,2024-04-23 17:50:08.838932,48,16,29680,12,9,B
Charrue,6,14,besoin de maintenance,2024-03-21 17:50:08.838936,80,20,22260,12,34,B
Charrue,9,13,bon état,2024-04-15 17:50:08.838940,48,29,33390,12,41,B
Semoir,3,12,bon état,2024-04-15 17:50:08.838944,42,11,11130,16,26,B
Tracteur,10,11,besoin de maintenance,2024-03-24 17:50:08.838947,7,20,37100,9,28,C
Moissonneuse,9,16,besoin de maintenance,2024-03-07 17:50:08.838951,86,29,33390,13,10,B
Charrue,10,12,bon état,2024-04-26 17:50:08.838955,40,24,37100,10,24,C
Charrue,11,13,besoin de réparation,2024-02-26 17:50:08.838959,66,44,40810,10,14,C
Tracteur,8,11,bon état,2024-04-16 17:50:08.838963,44,29,29680,16,23,B
Charrue,12,11,bon état,2024-04-22 17:50:08.838966,17,34,44520,2,46,C
Remorque agricole,11,16,bon état,2024-04-29 17:50:08.838970,21,22,40810,5,48,B
Moissonneuse,13,16,besoin de réparation,2024-02-13 17:50:08.838974,37,26,48230,7,44,C
Charrue,6,14,besoin de maintenance,2024-03-10 17:50:08.838978,73,20,22260,12,11,B
Moissonneuse,5,12,besoin de réparation,2024-04-02 17:50:08.838982,90,14,18550,9,25,B
Tondeuse agricole,7,11,besoin de maintenance,2024-03-12 17:50:08.838986,30,23,25970,14,16,B
Charrue,13,10,besoin de réparation,2024-02-29 17:50:08.838990,75,26,48230,2,9,C
Semoir,3,13,bon état,2024-04-23 17:50:08.838994,6,8,11130,8,22,A
Moissonneuse,12,12,besoin de réparation,2024-02-22 17:50:08.838997,36,34,44520,12,20,C
Moissonneuse,5,11,bon état,2024-04-25 17:50:08.839001,23,12,18550,8,22,B
Tracteur,11,10,besoin de réparation,2024-02-29 17:50:08.839005,15,22,40810,4,34,C
Semoir,3,14,besoin de maintenance,2024-03-27 17:50:08.839010,41,11,11130,17,34,B
Remorque agricole,5,14,besoin de maintenance,2024-03-01 17:50:08.839014,19,12,18550,12,5,B
Semoir,11,16,besoin de maintenance,2024-03-24 17:50:08.839018,33,36,40810,4,2,B
